	x	y	scan1	scan2	boolean_x	boolean_y	combination
213	-15.913640169325252	-7.991399828238082	8154.0	1869.0	True	True	Both identifications are reported
214	-15.131943638176958	-11.75448733218585	8263.0	6220.0	True	True	Both identifications are reported
215	-11.681936665037238	-11.75448733218585	8354.0	6220.0	True	True	Both identifications are reported
216	-10.289036881004725	-11.75448733218585	8363.0	6220.0	True	True	Both identifications are reported
217	-3.0261593798313853	-2.7756162339765673	8442.0	8413.0	True	True	Both identifications are reported
218	-5.619788758288394	-6.1904402853647325	8587.0	5835.0	True	True	Both identifications are reported
219	-6.492144128304169	-6.1904402853647325	8603.0	5835.0	True	True	Both identifications are reported
220	-7.400116927926312	-6.1904402853647325	8657.0	5835.0	True	True	Both identifications are reported
221	-2.180482912583236	-9.040958607678906	9268.0	3900.0	False	True	Only one identification is reported
222	-10.826813731587725	-2.5967215822647614	9285.0	7866.0	True	False	Only one identification is reported
223	-5.471083299722345	-6.1904402853647325	9677.0	5835.0	True	True	Both identifications are reported
224	-11.324221658325914	-3.1813532163598706	9777.0	1924.0	True	True	Both identifications are reported
225	-5.493494967595128	-5.223298816011589	9783.0	1733.0	True	True	Both identifications are reported
226	-7.291579099865287	-5.223298816011589	9806.0	1733.0	True	True	Both identifications are reported
227	-6.448550002027125	-3.075694657050903	10147.0	5076.0	True	True	Both identifications are reported
228	-8.581698708680255	-3.1813532163598706	10153.0	1924.0	True	True	Both identifications are reported
229	-7.576754126063192	-3.1813532163598706	10538.0	1924.0	True	True	Both identifications are reported
230	-7.396855627379818	-3.1886802171166204	10588.0	6282.0	True	True	Both identifications are reported
231	-9.67366413907125	-3.1813532163598706	10916.0	1924.0	True	True	Both identifications are reported
232	-4.319664486585436	-3.1813532163598706	10926.0	1924.0	True	True	Both identifications are reported
233	-4.549750891680639	-5.223298816011589	10945.0	1733.0	True	True	Both identifications are reported
234	-5.694648630553377	-3.1813532163598706	11259.0	1924.0	True	True	Both identifications are reported
235	-5.221125527997261	-5.223298816011589	11281.0	1733.0	True	True	Both identifications are reported
236	-5.349692476868063	-5.223298816011589	11625.0	1733.0	True	True	Both identifications are reported
237	-24.512861624522813	-6.280668713016273	2237.0	8121.0	True	True	Both identifications are reported
238	-19.686132779630846	-3.242042788133535	2301.0	9414.0	True	False	Only one identification is reported
239	-17.518557371497696	-3.242042788133535	2314.0	9414.0	True	False	Only one identification is reported
240	-19.4145392704915	-3.242042788133535	2330.0	9414.0	True	False	Only one identification is reported
241	-6.482804102050026	-4.47755576649368	2348.0	7602.0	True	True	Both identifications are reported
242	-7.931814138253839	-5.2262135550188065	2363.0	4320.0	True	True	Both identifications are reported
243	-6.006123085058789	-4.47755576649368	2390.0	7602.0	True	True	Both identifications are reported
244	-19.193141970481182	-3.242042788133535	2398.0	9414.0	True	False	Only one identification is reported
245	-14.202040356262804	-3.242042788133535	2488.0	9414.0	True	False	Only one identification is reported
246	-7.536107011014093	-3.242042788133535	2593.0	9414.0	True	False	Only one identification is reported
247	-10.935542010773082	-3.242042788133535	2600.0	9414.0	True	False	Only one identification is reported
248	-9.139063379299905	-3.242042788133535	2684.0	9414.0	True	False	Only one identification is reported
249	-14.411168274405792	-13.385102783966865	3854.0	6910.0	True	True	Both identifications are reported
250	-7.27083521030723	-5.0	3924.0	2580.0	True	True	Both identifications are reported
251	-15.950781977329818	-13.385102783966865	3944.0	6910.0	True	True	Both identifications are reported
252	-14.623423042943488	-13.385102783966865	3965.0	6910.0	True	True	Both identifications are reported
253	-15.747146969020108	-13.385102783966865	3977.0	6910.0	True	True	Both identifications are reported
254	-13.534617148551582	-20.625251653989896	3980.0	2229.0	True	True	Both identifications are reported
